lon,lat,alt,distr
-96.53975738,18.17428971,69,curr
-96.53650522,17.90456551,524,curr
-96.52201138,17.82496873,493,curr
-96.41218173,17.73253167,761,curr
-96.29768838,17.89031534,325,curr
-96.23416578,17.85280893,179,curr
-96.04229256,17.50165136,1197,curr
-96.03182544,17.30634054,1557,curr
-95.90272198,17.51919402,451,curr
-95.6671509,17.67468155,135,curr
-95.25165858,17.70667803,79,curr
-95.23404923,17.58715018,80,curr
-95.22470349,17.84213107,69,curr
-95.17828366,18.63402855,424,curr
-95.12279647,17.06049902,255,curr
-94.97210239,17.52569179,62,curr
-94.90059172,18.07585112,109,curr
-94.89264148,17.93331288,76,curr
-94.82988114,17.90250044,37,curr
-94.74623821,17.43414176,37,curr
-94.743154,17.57917026,14,curr
-94.67057538,16.84745638,273,curr
-94.47766135,17.47706757,50,curr
-94.28211829,17.56505522,28,curr
-94.12845294,17.75025369,45,curr
-94.05155087,17.39180403,237,curr
-93.89869014,16.74353059,794,curr
-93.80684006,17.76587847,30,curr
-93.79566379,17.60221846,44,curr
-93.78365854,16.9772715,591,curr
-93.75564695,17.65615104,41,curr
-93.75199781,17.74302522,30,curr
-93.7342693,17.33919885,174,curr
-93.65444918,18.02489661,14,curr
-93.57274909,18.09904832,12,curr
-93.42869976,15.84501243,47,curr
-93.42400583,17.57385822,44,curr
-93.40442049,17.49610835,104,curr
-93.17214342,18.00898218,15,curr
-93.13825842,18.09509204,11,curr
-93.06755486,17.61457045,18,curr
-92.94755162,15.66199307,1272,curr
-92.94625501,18.36971017,2,curr
-92.92241449,17.5693769,19,curr
-92.85780647,17.87916128,8,curr
-92.84971418,15.60131264,838,curr
-92.79732407,17.49015425,58,curr
-92.73122072,17.24278931,764,curr
-92.61584164,18.42255366,0,curr
-92.39585131,17.52392362,668,curr
-92.34899439,17.42951985,80,curr
-92.11433484,14.60505199,12,curr
-91.93158651,17.96717175,4,curr
-91.91863323,15.69576798,825,curr
-91.86556823,17.26901823,649,curr
-91.70913389,16.9087395,651,curr
-91.69293067,17.18432852,495,curr
-91.62446883,15.79659942,1796,curr
-91.62218985,15.61628517,2562,curr
-91.62111358,15.8314493,1653,curr
-91.60258266,15.71771088,1974,curr
-91.54931552,17.51442106,31,curr
-91.35295594,16.7306854,1315,curr
-91.29611001,18.05300825,24,curr
-91.28420541,16.23445221,191,curr
-91.28197434,16.90257616,431,curr
-91.27076607,16.75547974,791,curr
-91.12492224,17.01022194,244,curr
-91.09646687,16.81486317,566,curr
-91.06894155,17.76665381,41,curr
-91.04906838,17.9110057,44,curr
-91.02579083,15.87904341,277,curr
-91.01651757,18.18946161,62,curr
-90.9960772,18.12430855,32,curr
-90.89427966,18.52687983,71,curr
-90.88008289,15.59069086,901,curr
-90.87612658,17.40043324,59,curr
-90.8743632,16.54434695,191,curr
-90.85650377,16.75919459,135,curr
-90.8198214,15.46769318,2501,curr
-90.79243414,17.529525,65,curr
-90.73497614,18.36018168,91,curr
-90.72588057,16.91408805,153,curr
-90.69754857,18.42081094,97,curr
-90.6802405,15.90265038,192,curr
-90.54419902,17.8251009,73,curr
-90.5441964,17.65597901,94,curr
-90.4479775,16.09122531,134,curr
-90.42383519,15.90089345,301,curr
-90.36870616,15.54494111,1125,curr
-90.35471671,16.32404992,134,curr
-90.31906754,16.98196556,216,curr
-90.29023145,17.3745256,142,curr
-90.24908369,17.46992687,166,curr
-90.24646057,19.24611885,26,curr
-90.21224116,18.85838027,55,curr
-90.17677682,21.08267226,3,curr
-90.17619493,18.68249609,60,curr
-90.1300958,16.16940686,178,curr
-90.09386625,18.49169599,104,curr
-90.02385439,16.84094486,211,curr
-90.00144437,18.62670897,187,curr
-89.98840275,17.06910188,140,curr
-89.98360736,15.09976692,2010,curr
-89.91984583,17.71355734,268,curr
-89.90461825,17.42932598,329,curr
-89.86366668,16.25514926,162,curr
-89.85616622,16.73009127,171,curr
-89.80194585,15.17743739,2355,curr
-89.76287763,19.1053419,163,curr
-89.75070661,21.24164466,0,curr
-89.71735586,15.91974405,177,curr
-89.67390174,15.13122927,2096,curr
-89.67013294,18.04439273,285,curr
